timestamp,symbol,price,volume
2026-01-15T09:15:01,NIFTY,25000.00,100
2026-01-15T09:15:02,NIFTY,25001.25,120
2026-01-15T09:15:03,NIFTY,24999.75,90
2026-01-15T09:15:04,NIFTY,25002.50,150
2026-01-15T09:15:05,NIFTY,25003.00,200
2026-01-15T09:15:06,NIFTY,25001.50,110
2026-01-15T09:15:07,NIFTY,25000.25,95
2026-01-15T09:15:08,NIFTY,24998.00,130
2026-01-15T09:15:09,NIFTY,24997.50,140
2026-01-15T09:15:10,NIFTY,24999.00,105
2026-01-15T09:15:11,BANKNIFTY,52000.00,50
2026-01-15T09:15:12,BANKNIFTY,52010.50,60
2026-01-15T09:15:13,BANKNIFTY,52005.25,55
2026-01-15T09:15:14,BANKNIFTY,52015.00,70
2026-01-15T09:15:15,BANKNIFTY,52020.75,80
